step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
564,TRANSFER,2472250.47,C577087580,2472250.47,0.0,C660528098,0.0,0.0,1,0
378,TRANSFER,575222.23,C172716646,191007.0,0.0,C1509485128,223236.84,798459.07,0,0
22,CASH_OUT,12054.58,C1256647339,0.0,0.0,C1959320453,2183337.59,2195392.17,0,0
203,CASH_OUT,325699.54,C1201436638,75619.0,0.0,C721999140,0.0,325699.54,0,0
133,CASH_OUT,231758.43,C1458389569,0.0,0.0,C1739525341,1154848.97,1386607.39,0,0
274,TRANSFER,2135242.49,C1770061029,0.0,0.0,C1558088531,2553549.38,4688791.87,0,0
140,CASH_OUT,70835.24,C1788566461,0.0,0.0,C2067506862,2173169.71,2244004.95,0,0
257,CASH_OUT,223832.25,C1698441479,0.0,0.0,C189171133,350300.34,574132.58,0,0
184,TRANSFER,819095.72,C585528502,0.0,0.0,C224997304,1882619.63,2986072.45,0,0
42,TRANSFER,73072.3,C1338314535,9342.0,0.0,C1949687598,0.0,257468.32,0,0
354,CASH_OUT,185854.9,C1139870499,55038.0,0.0,C1605597383,16594.32,202449.22,0,0
165,CASH_OUT,137796.62,C625265471,0.0,0.0,C712824559,207531.04,345327.66,0,0
353,CASH_OUT,429940.18,C1964557913,429.0,0.0,C689079845,0.0,231217.99,0,0
354,CASH_OUT,76600.62,C1645852058,1020.0,0.0,C726172324,0.0,76600.62,0,0
211,CASH_OUT,325531.24,C2076525707,0.0,0.0,C709299997,4394824.86,4720356.1,0,0
231,CASH_OUT,41373.5,C1572010825,0.0,0.0,C2039337580,264769.37,306142.87,0,0
202,CASH_OUT,88971.42,C1801432162,15729.0,0.0,C1033082947,0.0,88971.42,0,0
327,CASH_OUT,120169.36,C285674902,0.0,0.0,C1826371179,335693.1,455862.47,0,0
301,CASH_OUT,121862.54,C1439597055,0.0,0.0,C583700711,746567.18,868429.72,0,0
225,CASH_OUT,341416.21,C423077255,30271.0,0.0,C1379767601,245647.82,587064.03,0,0
298,CASH_OUT,15663.27,C1267530299,0.0,0.0,C1459794750,880712.01,896375.27,0,0
307,TRANSFER,1074831.51,C1171647522,0.0,0.0,C29687546,4926529.86,6001361.37,0,0
20,CASH_OUT,87567.67,C1911193573,0.0,0.0,C1672788422,343657.58,431225.25,0,0
322,CASH_OUT,190839.84,C616972667,63969.0,0.0,C124002853,330847.15,521687.0,0,0
208,CASH_OUT,48471.23,C1421383228,0.0,0.0,C4245138,1186496.88,1234968.11,0,0
279,CASH_OUT,601222.02,C158423386,601222.02,0.0,C1536033650,0.0,601222.02,1,0
398,CASH_OUT,423014.89,C1963546143,20644.0,0.0,C1160262385,0.0,423014.89,0,0
383,CASH_OUT,207658.12,C856171821,0.0,0.0,C93601085,726033.18,933691.3,0,0
22,CASH_OUT,295980.04,C1410137407,0.0,0.0,C932351706,1624379.48,1920359.52,0,0
129,CASH_OUT,223796.67,C1353437409,564557.0,340760.33,C33568341,0.0,223796.67,0,0
130,CASH_OUT,167431.96,C1620584933,0.0,0.0,C1855975180,1188878.84,1356310.8,0,0
298,CASH_OUT,126699.56,C321142802,20786.0,0.0,C609013023,0.0,126699.56,0,0
164,TRANSFER,718851.69,C97849869,11530.0,0.0,C562464960,63308.33,782160.02,0,0
42,CASH_OUT,114938.93,C798706720,20968.0,0.0,C456920797,1845467.02,1960405.95,0,0
47,TRANSFER,132565.17,C465366050,25138.0,0.0,C1760264878,177733.94,310299.11,0,0
235,CASH_OUT,158277.81,C1571152081,30735.0,0.0,C1492492518,653109.3,811387.11,0,0
283,CASH_OUT,175029.15,C1404695031,21223.0,0.0,C260143318,933724.91,1108754.06,0,0
163,CASH_OUT,657910.1,C958723282,0.0,0.0,C2116497718,1353469.36,2011379.46,0,0
406,CASH_OUT,27960.64,C1185194894,11803.0,0.0,C1743681635,109526.95,137487.59,0,0
403,CASH_OUT,46246.0,C1581611676,538.0,0.0,C898243817,2782312.9,2828558.9,0,0
183,CASH_OUT,24295.27,C2146493078,0.0,0.0,C1375366531,629040.58,653335.85,0,0
352,CASH_OUT,123468.23,C1947735158,11543.0,0.0,C709445007,0.0,123468.23,0,0
162,CASH_OUT,79518.75,C50249408,33823.0,0.0,C1150186497,0.0,79518.75,0,0
13,CASH_OUT,172432.84,C1590433627,0.0,0.0,C1798624787,441129.46,613562.3,0,0
495,TRANSFER,2038231.23,C1790056239,3547.0,0.0,C1801400405,0.0,2038231.23,0,0
352,CASH_OUT,48888.06,C877457865,200.0,0.0,C1707116448,512879.49,561767.55,0,0
329,CASH_OUT,286465.36,C432794780,21412.0,0.0,C1563700546,579215.89,865681.25,0,0
233,CASH_OUT,64374.33,C932365738,34288.0,0.0,C2009558800,5765.59,70139.92,0,0
34,CASH_OUT,212688.47,C1848805581,1527.0,0.0,C915956335,0.0,97789.33,0,0
184,TRANSFER,79772.62,C722559767,51425.58,0.0,C1174066249,279728.95,359501.58,0,0
304,CASH_OUT,535377.79,C1299942077,0.0,0.0,C245664896,5724782.55,6260160.34,0,0
356,TRANSFER,202190.62,C1307211522,99797.0,0.0,C78235074,448172.79,650363.41,0,0
258,CASH_OUT,120835.11,C594241319,0.0,0.0,C1960786025,3121177.53,3242012.63,0,0
308,CASH_OUT,64348.2,C1957236194,36429.0,0.0,C1807725354,5173058.36,5237406.55,0,0
255,TRANSFER,302512.9,C1440269259,0.0,0.0,C220204350,1047120.89,1349633.79,0,0
179,CASH_OUT,136277.08,C892100751,29418.0,0.0,C1429491648,463740.15,600017.23,0,0
13,CASH_OUT,454859.39,C1274887619,0.0,0.0,C2146670328,0.0,454859.39,1,0
183,CASH_OUT,570622.3,C1166715672,0.0,0.0,C691834309,2153428.42,2724050.72,0,0
332,CASH_OUT,89004.45,C215011503,0.0,0.0,C209856253,313298.34,402302.79,0,0
261,CASH_OUT,59260.53,C1535902421,45026.0,0.0,C1686536217,0.0,59260.53,0,0
263,TRANSFER,32771.96,C1203372205,712324.0,679552.04,C1339457126,59844.98,92616.94,0,0
635,CASH_OUT,1363674.48,C1928734777,1363674.48,0.0,C31164156,0.0,1363674.48,1,0
85,TRANSFER,1440705.58,C1202805418,1440705.58,0.0,C1429653947,0.0,0.0,1,0
283,CASH_OUT,95008.41,C1506549190,0.0,0.0,C1178169270,4161682.74,4256691.15,0,0
574,CASH_OUT,58863.89,C678401003,58863.89,0.0,C1491672544,37515.88,96379.78,1,0
349,CASH_OUT,60233.24,C916431037,20738.0,0.0,C695144115,0.0,60233.24,0,0
393,CASH_OUT,97.86,C785510106,0.0,0.0,C2007628826,62569.4,62667.26,0,0
228,CASH_OUT,150412.65,C1851471223,0.0,0.0,C1365053861,185976.78,336389.43,0,0
298,CASH_OUT,67465.37,C831763417,0.0,0.0,C1051229229,2548623.83,2616089.2,0,0
249,CASH_OUT,55143.93,C413388654,0.0,0.0,C1963595524,872198.27,927342.2,0,0
142,CASH_OUT,73064.41,C1088641911,73064.41,0.0,C1039637819,187838.1,260902.5,1,0
334,TRANSFER,2060635.42,C2087116165,0.0,0.0,C517167804,2986961.61,5047597.03,0,0
375,CASH_OUT,303532.87,C81845572,19184.0,0.0,C1153438853,128673.57,432206.43,0,0
47,CASH_OUT,83712.24,C890765186,251.0,0.0,C517274692,0.0,83712.24,0,0
204,CASH_OUT,168531.97,C1722730097,5515.0,0.0,C1554161403,9266469.08,9435001.05,0,0
403,CASH_OUT,198524.18,C1842463601,0.0,0.0,C458962253,1763950.22,1962474.4,0,0
236,CASH_OUT,213185.4,C208322744,0.0,0.0,C1771939633,254467.63,467653.03,0,0
402,CASH_OUT,438347.25,C1456876029,0.0,0.0,C1525306708,5281526.18,5719873.42,0,0
307,CASH_OUT,31043.44,C734696897,9754.0,0.0,C454873504,2463050.62,2494094.05,0,0
275,CASH_OUT,149353.78,C1183238702,0.0,0.0,C855877138,4694760.67,4844114.45,0,0
179,CASH_OUT,214327.46,C1263005725,0.0,0.0,C484296092,350269.65,564597.11,0,0
36,TRANSFER,106665.16,C1599393324,61159.0,0.0,C771559821,21147.65,127812.81,0,0
282,CASH_OUT,359487.45,C1842907976,0.0,0.0,C1385509431,658514.87,1018002.32,0,0
340,CASH_OUT,92145.4,C987947557,92145.4,0.0,C1630824313,388798.48,480943.88,1,0
303,CASH_OUT,92802.29,C855146449,10820.0,0.0,C1654520046,905.3,93707.6,0,0
211,CASH_OUT,23067.23,C1741284560,20050.0,0.0,C334776158,0.0,23067.23,0,0
327,TRANSFER,10000000.0,C86843019,81116.0,0.0,C754810657,154456.37,15869500.23,0,0
352,CASH_OUT,94175.14,C1851754480,0.0,0.0,C905059024,782730.52,876905.66,0,0
167,TRANSFER,279728.8,C2057236817,279728.8,0.0,C2091501904,0.0,0.0,1,0
202,CASH_OUT,128096.99,C943207760,0.0,0.0,C291231919,368235.43,496332.42,0,0
370,CASH_OUT,454356.77,C24567057,15384.0,0.0,C1586385503,4443645.48,4898002.25,0,0
208,CASH_OUT,151771.91,C751863566,105.0,0.0,C1595937964,459541.43,611313.34,0,0
33,CASH_OUT,541998.91,C218930901,710.0,0.0,C159170693,236870.78,778869.7,0,0
34,CASH_OUT,204112.98,C2064654453,537310.08,333197.1,C957437461,2730677.95,2934790.93,0,0
179,CASH_OUT,92419.33,C1856161730,0.0,0.0,C1748287710,112887.19,205306.52,0,0
37,CASH_OUT,84038.46,C1094786376,247172.17,163133.71,C1223691733,1008089.76,1092128.22,0,0
250,CASH_OUT,361947.8,C1870780512,0.0,0.0,C903434885,413658.14,775605.94,0,0
373,CASH_OUT,467425.78,C2130555396,0.0,0.0,C30499815,747638.46,1215064.23,0,0
353,CASH_OUT,179896.58,C595395967,0.0,0.0,C244662617,278478.18,458374.77,0,0
612,CASH_OUT,103680.77,C123604696,113468.0,9787.23,C1000271590,0.0,103680.77,0,0
306,CASH_OUT,175592.4,C687668753,12452.0,0.0,C1243305869,2987141.45,3162733.85,0,0
345,TRANSFER,2480351.05,C374375711,0.0,0.0,C1424025700,8365290.54,10845641.59,0,0
8,CASH_OUT,101709.12,C1101054229,0.0,0.0,C1217639236,238427.36,228728.22,0,0
11,CASH_OUT,48874.89,C1266491578,0.0,0.0,C1038553512,56913.68,189708.14,0,0
379,CASH_OUT,15896.81,C1520650368,1063.0,0.0,C1121317504,0.0,15896.81,0,0
274,CASH_OUT,5052211.09,C253761308,5052211.09,0.0,C232278551,6890050.56,11942261.64,1,0
254,CASH_OUT,215254.34,C1344292310,0.0,0.0,C1856695618,432048.73,724571.34,0,0
182,CASH_OUT,333243.54,C23689599,11832.0,0.0,C1241363878,2868684.27,3201927.81,0,0
420,CASH_OUT,8370.37,C1543652399,0.0,0.0,C1856274057,851813.08,860183.46,0,0
613,TRANSFER,86002.09,C1114344856,86002.09,0.0,C942119622,0.0,0.0,1,0
303,CASH_OUT,160926.36,C1929795774,16403.0,0.0,C606571570,0.0,160926.36,0,0
348,CASH_OUT,322988.42,C1648802515,1764.0,0.0,C1661289319,150505.18,473493.6,0,0
571,CASH_OUT,208936.26,C1109146834,20939.0,0.0,C1955190645,1572070.64,1781006.9,0,0
17,CASH_OUT,460719.87,C782055268,0.0,0.0,C1322961780,12188394.97,12649114.84,0,0
16,CASH_OUT,110551.12,C727959893,2298.0,0.0,C1811957129,132947.0,243498.12,0,0
354,CASH_OUT,138794.62,C1256403898,0.0,0.0,C114998762,368736.82,507531.43,0,0
184,CASH_OUT,694.2,C938220513,29391.0,28696.8,C1882860489,5023931.24,5024625.44,0,0
180,TRANSFER,145177.55,C418954316,121179.0,0.0,C201992506,0.0,145177.55,0,0
465,TRANSFER,2577489.07,C939367162,2577489.07,0.0,C2087484651,0.0,0.0,1,0
15,TRANSFER,150557.72,C1253493104,186440.48,35882.75,C1437542573,214419.81,449865.7,0,0
722,CASH_OUT,59263.88,C1129374442,59263.88,0.0,C552296205,1597464.29,1656728.17,1,0
163,CASH_OUT,19692.03,C698547073,30314.0,10621.97,C283511236,564213.06,583905.09,0,0
203,CASH_OUT,23152.64,C626733697,12020.0,0.0,C1608783483,319464.41,342617.05,0,0
226,CASH_OUT,82869.09,C1143635966,82869.09,0.0,C275663782,104258.05,187127.14,1,0
401,TRANSFER,863045.23,C1645674340,0.0,0.0,C399650201,2369228.37,3232273.6,0,0
159,CASH_OUT,474052.54,C642633931,474052.54,0.0,C372032326,29256.42,503308.95,1,0
384,CASH_OUT,18433.85,C1374020339,0.0,0.0,C327226246,2411628.08,2430061.93,0,0
12,CASH_OUT,160983.31,C2014609808,0.0,0.0,C1035275258,1508228.5,1070315.84,0,0
133,CASH_OUT,568119.79,C544302047,105003.0,0.0,C1598454946,150648.69,718768.47,0,0
134,TRANSFER,1525742.02,C311903293,1525742.02,0.0,C974621415,0.0,0.0,1,0
37,TRANSFER,648826.4,C1869314012,142781.0,0.0,C140909631,321005.37,969831.77,0,0
130,TRANSFER,2254599.38,C1989535150,0.0,0.0,C800521066,5614231.2,7868830.58,0,0
153,CASH_OUT,412511.32,C1575731939,412511.32,0.0,C33412994,41026.29,453537.61,1,0
103,CASH_OUT,639468.22,C765437817,639468.22,0.0,C799703422,185390.74,824858.96,1,0
373,CASH_OUT,530354.58,C1119661582,530354.58,0.0,C1171953426,4728783.51,5259138.09,1,0
372,CASH_OUT,351604.36,C1336240123,0.0,0.0,C438180436,667526.83,1019131.19,0,0
180,CASH_OUT,183713.96,C1335438655,59554.0,0.0,C1022743113,1040718.67,1224432.64,0,0
162,CASH_OUT,194497.43,C475476792,8089.63,0.0,C19334861,394372.63,588870.06,0,0
528,CASH_OUT,1016302.6,C1057118340,1016302.6,0.0,C1458829900,1149447.1,2165749.7,1,0
357,CASH_OUT,75376.32,C814359925,0.0,0.0,C1384854354,474811.39,550187.71,0,0
254,CASH_OUT,22491.3,C431449346,0.0,0.0,C955837243,302265.48,324756.78,0,0
254,TRANSFER,510296.83,C1321364448,58950.0,0.0,C2101342354,0.0,510296.83,0,0
279,TRANSFER,67059.82,C603416453,0.0,0.0,C1081190270,1465290.16,1532349.98,0,0
227,CASH_OUT,361493.43,C1148462746,32537.0,0.0,C1420109382,0.0,361493.43,0,0
41,CASH_OUT,315820.99,C463572568,36454.0,0.0,C493124904,0.0,315820.99,0,0
276,TRANSFER,169739.64,C2127580318,90300.0,0.0,C2119226016,188580.59,358320.23,0,0
379,CASH_OUT,150605.47,C621065748,25744.0,0.0,C1949066499,1511010.46,1661615.93,0,0
15,CASH_OUT,4126.99,C814704455,0.0,0.0,C1511598070,6531789.89,6535916.87,0,0
672,TRANSFER,234787.38,C1526831204,234787.38,0.0,C801426364,0.0,0.0,1,0
34,CASH_OUT,339747.63,C1109449239,249.0,0.0,C1903390298,0.0,339747.63,0,0
284,TRANSFER,456160.96,C1119634582,0.0,0.0,C1018903268,1095624.34,1551785.3,0,0
237,CASH_OUT,1503034.86,C1021806883,1503034.86,0.0,C1523189277,18125.1,1521159.97,1,0
230,CASH_OUT,180234.76,C383469591,21053.0,0.0,C121888131,10383.0,0.0,0,0
399,TRANSFER,1442075.9,C2041824507,1442075.9,0.0,C1842704131,0.0,0.0,1,0
16,CASH_OUT,176868.02,C364708815,0.0,0.0,C1725694877,2546872.43,2723740.45,0,0
16,CASH_OUT,129286.56,C1303312298,24326.0,0.0,C1238735674,230390.92,457129.11,0,0
40,CASH_OUT,277439.69,C1624703978,130564.0,0.0,C515865405,3181356.92,3458796.61,0,0
400,CASH_OUT,284816.7,C1393781261,0.0,0.0,C256127730,568522.77,853339.47,0,0
683,CASH_OUT,309694.08,C1671920841,5080.0,0.0,C596315443,0.0,309694.08,0,0
185,TRANSFER,178049.28,C378841796,0.0,0.0,C212045019,12072217.93,12250267.22,0,0
291,CASH_OUT,2324907.08,C1373829253,2324907.08,0.0,C1286348462,157275.18,2482182.26,1,0
254,CASH_OUT,59404.84,C885841320,142649.35,83244.51,C504545594,1001504.27,1060909.11,0,0
236,CASH_OUT,55214.06,C1834320133,29766.0,0.0,C716715648,185722.68,240936.74,0,0
485,TRANSFER,277485.25,C1505030258,277485.25,0.0,C275418011,0.0,0.0,1,0
44,CASH_OUT,146440.91,C1659166162,0.0,0.0,C1698091688,2274249.07,2420689.98,0,0
377,CASH_OUT,195080.05,C213229050,20423.0,0.0,C1441921035,152176.02,347256.07,0,0
15,CASH_OUT,340399.66,C1389205149,307464.0,0.0,C496375403,0.0,340399.66,0,0
35,CASH_OUT,164459.79,C342181161,30354.0,0.0,C1139289673,0.0,164459.79,0,0
230,CASH_OUT,75012.2,C1327456451,0.0,0.0,C1226031753,3717061.15,3792073.34,0,0
94,TRANSFER,52786.95,C574160085,0.0,0.0,C419130630,1167800.67,1220587.61,0,0
353,CASH_OUT,313773.91,C430931204,0.0,0.0,C1857492892,403053.5,716827.41,0,0
305,CASH_OUT,477713.75,C386681547,194.0,0.0,C1277009140,226182.93,703896.68,0,0
36,CASH_OUT,540301.86,C1051876452,104701.0,0.0,C47393462,0.0,540301.86,0,0
17,TRANSFER,305627.0,C1711670940,305627.0,0.0,C385061535,0.0,0.0,1,0
355,TRANSFER,5696807.98,C565787504,0.0,0.0,C1504061310,10674816.7,16371624.68,0,0
44,CASH_OUT,27717.0,C1737135617,120691.0,92974.0,C380414710,924724.69,952441.69,0,0
155,CASH_OUT,113734.45,C567753451,31441.0,0.0,C1119995781,0.0,171145.88,0,0
129,CASH_OUT,36326.75,C1548707168,0.0,0.0,C978858794,5882145.15,5918471.91,0,0
210,CASH_OUT,225947.52,C1195708155,33074.0,0.0,C190862918,950227.77,1176175.29,0,0
151,TRANSFER,127091.33,C1183499119,127091.33,0.0,C1668573302,0.0,0.0,1,0
251,TRANSFER,117195.89,C1916876570,271.0,0.0,C168343799,589386.37,706582.26,0,0
12,CASH_OUT,202023.31,C1358933580,8679.0,0.0,C2128783027,0.0,202023.31,0,0
183,CASH_OUT,218429.11,C454215558,0.0,0.0,C1265069066,472319.12,690748.23,0,0
544,CASH_OUT,206796.56,C1137856082,90389.0,0.0,C1982154432,144402.54,351199.1,0,0
34,CASH_OUT,134564.7,C854315086,0.0,0.0,C400640881,1198005.0,2371701.53,0,0
297,CASH_OUT,175166.72,C1583316659,178066.0,2899.28,C1783619586,0.0,175166.72,0,0
132,CASH_OUT,56147.19,C2013316090,6406.0,0.0,C1314676285,6248761.56,6304908.75,0,0
404,CASH_OUT,360597.28,C62859350,0.0,0.0,C1822805400,933388.13,1293985.4,0,0
323,CASH_OUT,411614.96,C569406602,321297.0,0.0,C894785387,1342866.89,1754481.85,0,0
8,CASH_OUT,182709.7,C1400802531,10954.59,0.0,C1337741679,4176435.55,4670415.04,0,0
369,CASH_OUT,79908.77,C1305548434,90153.0,10244.23,C1914143115,1598216.0,1678124.78,0,0
44,CASH_OUT,114948.02,C1547709074,0.0,0.0,C1352700528,4312772.26,4427720.28,0,0
201,TRANSFER,8327.11,C783438923,108053.0,99725.89,C657763950,0.0,8327.11,0,0
104,TRANSFER,125159.2,C1087798823,125159.2,0.0,C1125025410,0.0,0.0,1,0
253,CASH_OUT,138851.44,C695433422,0.0,0.0,C1339984732,275555.97,414407.41,0,0
44,CASH_OUT,41489.6,C678425072,129279.0,87789.4,C1224694905,1322538.09,1364027.69,0,0
37,CASH_OUT,150227.95,C233639952,0.0,0.0,C1526448702,1339345.09,1489573.04,0,0
289,TRANSFER,602807.17,C500424911,602807.17,0.0,C2014202347,0.0,0.0,1,0
254,TRANSFER,593862.61,C1696008572,7510.76,0.0,C477622584,2083265.82,2677128.43,0,0
157,CASH_OUT,22552.91,C634668819,110215.0,87662.09,C671808831,1629305.71,1651858.62,0,0
209,TRANSFER,579481.29,C20390568,0.0,0.0,C1257191235,640599.14,1220080.43,0,0
15,CASH_OUT,158676.46,C1130047308,35622.0,0.0,C1516759636,320507.48,479183.94,0,0
211,CASH_OUT,55920.39,C1899996143,55920.39,0.0,C1567322020,0.0,55920.39,1,0
33,CASH_OUT,101771.65,C2105289166,20475.0,0.0,C150347441,1469771.18,1571542.83,0,0
332,CASH_OUT,122637.03,C153710730,77.0,0.0,C58576388,154036.97,276674.0,0,0
43,TRANSFER,1204667.46,C1905929509,0.0,0.0,C1889395764,22909994.15,24114661.6,0,0
351,CASH_OUT,245473.37,C955049434,285592.0,40118.63,C1010788641,292470.33,537943.7,0,0
158,CASH_OUT,34535.39,C980305505,20833.0,0.0,C1932857699,715053.13,749588.51,0,0
227,CASH_OUT,14243.6,C1557312568,0.0,0.0,C1341533387,138805.85,153049.45,0,0
331,TRANSFER,243082.88,C399510866,7097.85,0.0,C305986680,959233.01,1202315.88,0,0
107,TRANSFER,570649.33,C1866696919,570649.33,0.0,C1840997848,0.0,0.0,1,0
394,TRANSFER,1706410.15,C1771154371,26084.0,0.0,C788470582,469682.78,2176092.93,0,0
395,CASH_OUT,248623.39,C893013940,0.0,0.0,C537707226,253052.24,501675.63,0,0
43,CASH_OUT,57991.01,C1507058856,6167.0,0.0,C598551831,7733859.13,7791850.14,0,0
236,CASH_OUT,172611.0,C1614161759,35043.0,0.0,C305117660,0.0,172611.0,0,0
234,CASH_OUT,321416.21,C1391585803,68124.0,0.0,C1032959539,2322492.16,2643908.38,0,0
18,TRANSFER,330241.2,C589033034,0.0,0.0,C953537068,523305.77,853546.97,0,0
275,CASH_OUT,95144.57,C1614581318,739.0,0.0,C399754986,185171.59,280316.17,0,0
13,CASH_OUT,185536.19,C1662713500,0.0,0.0,C1388182036,4183025.2,4368561.38,0,0
93,CASH_OUT,423630.0,C1295088466,0.0,0.0,C1868096235,2200756.6,2624386.6,0,0
34,CASH_OUT,117827.48,C158166602,10456.0,0.0,C1531507253,675453.15,793280.63,0,0
307,CASH_OUT,158959.25,C506759990,9951.0,0.0,C652865724,55743.38,214702.63,0,0
401,CASH_OUT,24675.48,C2019435452,0.0,0.0,C333173234,166916.38,191591.86,0,0
404,CASH_OUT,10000000.0,C424305014,10000000.0,0.0,C761333500,358443.32,10358443.32,1,0
630,CASH_OUT,17484.29,C1934743531,17484.29,0.0,C1197685595,0.0,17484.29,1,0
251,TRANSFER,421552.18,C222379480,0.0,0.0,C674068232,3135135.74,3556687.91,0,0
402,TRANSFER,601494.14,C974964529,0.0,0.0,C1063814851,3145002.94,3746497.08,0,0
205,TRANSFER,626253.38,C1672396303,13397.0,0.0,C221828820,3083.92,629337.3,0,0
203,CASH_OUT,213716.32,C1100097632,10423.0,0.0,C70081019,169372.39,383088.71,0,0
650,CASH_OUT,916886.3,C1180613420,916886.3,0.0,C1976314551,3233104.45,4149990.75,1,0
162,CASH_OUT,56345.14,C779103018,0.0,0.0,C752828267,63443.95,119789.09,0,0
160,TRANSFER,488172.79,C2145971688,0.0,0.0,C811833237,2426973.29,2915146.07,0,0
396,CASH_OUT,667387.4,C204720848,1141.0,0.0,C169757676,401113.21,1068500.6,0,0
301,TRANSFER,82665.47,C1241022919,82665.47,0.0,C778090649,0.0,0.0,1,0
367,CASH_OUT,902483.91,C1202457928,902483.91,0.0,C2142717530,2271023.91,3173507.82,1,0
12,CASH_OUT,21430.46,C876214822,0.0,0.0,C1006214893,404816.68,426247.14,0,0
283,CASH_OUT,69695.89,C440396046,31019.0,0.0,C1989542891,482456.0,552151.89,0,0
1,TRANSFER,20128.0,C137533655,20128.0,0.0,C1848415041,0.0,0.0,1,0
688,CASH_OUT,228083.65,C4991178,0.0,0.0,C390247362,1474110.48,1702194.13,0,0
524,CASH_OUT,23226.64,C53531596,0.0,0.0,C1693266125,182385.19,205611.83,0,0
668,CASH_OUT,1576531.53,C2000069930,1576531.53,0.0,C1345448010,0.0,1576531.53,1,0
233,CASH_OUT,297771.49,C1560813320,9545.0,0.0,C4252049,241098.47,538869.96,0,0
16,CASH_OUT,51138.05,C1645344603,0.0,0.0,C422510099,199397.85,250535.9,0,0
329,CASH_OUT,543283.26,C587675346,0.0,0.0,C1536476520,914673.8,1457957.06,0,0
180,CASH_OUT,297901.88,C1305094852,0.0,0.0,C1679120917,1144283.11,1442184.98,0,0
305,CASH_OUT,30099.68,C660157428,0.0,0.0,C1714175746,2345854.96,2375954.64,0,0
235,TRANSFER,351725.28,C1894256575,118.0,0.0,C370320392,186309.05,538034.32,0,0
433,TRANSFER,673722.73,C1578662968,673722.73,0.0,C620731531,0.0,0.0,1,0
189,CASH_OUT,134852.56,C854081823,0.0,0.0,C2061164855,540619.24,675471.8,0,0
372,TRANSFER,671047.22,C1755824702,14953.0,0.0,C1955015996,15331.9,686379.12,0,0
722,TRANSFER,59263.88,C2141452552,59263.88,0.0,C1620015007,0.0,0.0,1,0
35,CASH_OUT,188910.87,C601752465,465405.38,276494.51,C1712339413,427381.26,616292.13,0,0
275,CASH_OUT,89022.39,C1193117144,5640.0,0.0,C102802100,0.0,89022.39,0,0
373,CASH_OUT,89392.02,C1940969858,45877.0,0.0,C979567086,3179577.96,3268969.99,0,0
714,CASH_OUT,175336.6,C433847647,10469.0,0.0,C699714988,262725.51,438062.12,0,0
157,CASH_OUT,182724.61,C109524141,31019.0,0.0,C1117555239,1121975.54,1304700.15,0,0
380,CASH_OUT,235925.91,C875048372,20467.0,0.0,C1436029812,0.0,235925.91,0,0
306,CASH_OUT,2974.04,C1857599865,235494.0,232519.96,C774537030,1482172.73,1485146.77,0,0
523,CASH_OUT,5999376.79,C2134635077,5999376.79,0.0,C1893331060,197460.17,6196836.96,1,0
182,CASH_OUT,101480.76,C314751204,0.0,0.0,C1656857487,740614.82,842095.58,0,0
19,TRANSFER,646189.62,C930938883,19792.0,0.0,C1980408580,57685.04,703874.66,0,0
403,CASH_OUT,114118.34,C173620412,0.0,0.0,C951611272,223325.02,337443.36,0,0
271,TRANSFER,279776.54,C573479496,279776.54,0.0,C809970708,0.0,0.0,1,0
